p25g_rx	0	0	0	00000	01000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	1	0	1	00400	01000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	2	0	2	00800	01000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	3	0	3	00c00	01000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	4	0	4	02000	03000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	5	0	5	02400	03000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	6	0	6	02800	03000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	7	0	7	02c00	03000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	8	0	8	04000	05000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	9	0	9	04400	05000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	10	0	10	04800	05000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	11	0	11	04c00	05000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	12	0	12	06000	07000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	13	0	13	06400	07000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	14	0	14	06800	07000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	15	0	15	06c00	07000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	16	0	16	08000	09000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	17	0	17	08400	09000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	18	0	18	08800	09000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	19	0	19	08c00	09000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	20	0	20	0a000	0b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	21	0	21	0a400	0b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	22	0	22	0a800	0b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	23	0	23	0ac00	0b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	24	0	32	0c000	0d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	25	0	33	0c400	0d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	26	0	34	0c800	0d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	27	0	35	0cc00	0d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	28	0	36	0e000	0f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	29	0	37	0e400	0f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	30	0	38	0e800	0f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	31	0	39	0ec00	0f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	32	0	40	10000	11000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	33	0	41	10400	11000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	34	0	42	10800	11000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	35	0	43	10c00	11000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	36	0	44	12000	13000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	37	0	45	12400	13000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	38	0	46	12800	13000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	39	0	47	12c00	13000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	40	0	48	14000	15000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	41	0	49	14400	15000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	42	0	50	14800	15000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	43	0	51	14c00	15000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	44	0	52	16000	17000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	45	0	53	16400	17000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	46	0	54	16800	17000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	47	0	55	16c00	17000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	48	0	56	18000	19000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	49	0	57	18400	19000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	50	0	58	18800	19000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	51	0	59	18c00	19000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	52	0	60	1a000	1b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	53	0	61	1a400	1b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	54	0	62	1a800	1b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	55	0	63	1ac00	1b000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	56	1	0	1c000	1d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	57	1	1	1c400	1d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	58	1	2	1c800	1d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	59	1	3	1cc00	1d000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	60	1	4	1e000	1f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	61	1	5	1e400	1f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	62	1	6	1e800	1f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	63	1	7	1ec00	1f000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	64	1	8	20000	21000	xcvu13p-fsga2577/GTY	pr25g
p25g_rx	65	1	9	20400	21000	xcvu13p-fsga2577/GTY	pr25g
