ge11_rx	0	1	39	07600	07800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	1	0	39	03600	03800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	2	1	38	07400	07800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	3	0	37	03200	03800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	4	1	35	06600	06800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	5	0	36	03000	03800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	6	1	33	06200	06800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	7	0	34	02400	02800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	8	1	31	05600	05800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	9	0	32	02000	02800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	10	1	29	05200	05800	xc7vx690tffg1927-2/GTH	GE11
ge11_rx	11	0	30	01400	01800	xc7vx690tffg1927-2/GTH	GE11
mpc_rx	0	1	37	07200	07800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	1	0	38	03400	03800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	2	1	36	07000	07800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	3	0	35	02600	02800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	4	1	34	06400	06800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	5	0	33	02200	02800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	6	1	32	06000	06800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	7	0	31	01600	01800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	8	1	30	05400	05800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	9	0	29	01200	01800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	10	1	28	05000	05800	xc7vx690tffg1927-2/GTH	MPC
mpc_rx	11	0	27	00600	00800	xc7vx690tffg1927-2/GTH	MPC
ge11_tx	0	0	31	01600	01800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	1	0	29	01200	01800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	2	0	33	02200	02800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	3	0	37	03200	03800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	4	0	35	02600	02800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	5	0	38	03400	03800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	6	1	36	07000	07800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	7	1	28	05000	05800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	8	1	34	06400	06800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	9	1	26	04400	04800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	10	1	32	06000	06800	xc7vx690tffg1927-2/GTH	GE11
ge11_tx	11	1	24	04000	04800	xc7vx690tffg1927-2/GTH	GE11
mpc_tx	0	0	30	01400	01800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	1	0	28	01000	01800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	2	0	32	02000	02800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	3	0	36	03000	03800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	4	0	34	02400	02800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	5	0	39	03600	03800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	6	1	37	07200	07800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	7	1	29	05200	05800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	8	1	35	06600	06800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	9	1	27	04600	04800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	10	1	33	06200	06800	xc7vx690tffg1927-2/GTH	MPC
mpc_tx	11	1	25	04200	04800	xc7vx690tffg1927-2/GTH	MPC
