tx	0	31	MPCX	C	640	mpcx_tx	0	
tx	0	30	MPCX	C	640	mpcx_tx	1	
tx	0	29	MPCX	C	640	mpcx_tx	2	
tx	0	28	MPCX	C	640	mpcx_tx	3	
tx	0	33	MPCX	C	640	mpcx_tx	4	
tx	0	32	MPCX	C	640	mpcx_tx	5	
tx	0	37	MPCX	C	640	mpcx_tx	6	
tx	0	36	MPCX	C	640	mpcx_tx	7	
tx	0	35	MPCX	C	640	mpcx_tx	8	
tx	0	34	MPCX	C	640	mpcx_tx	9	
tx	0	38	MPCX	C	640	mpcx_tx	10	
tx	0	39	MPCX	C	640	mpcx_tx	11	
rx	1	39	MPCX	C	640	mpcx_rx	0	
rx	1	37	MPCX	C	640	mpcx_rx	1	
rx	0	39	MPCX	C	640	mpcx_rx	2	
rx	0	38	MPCX	C	640	mpcx_rx	3	
rx	1	38	MPCX	C	640	mpcx_rx	4	
rx	1	36	MPCX	C	640	mpcx_rx	5	
rx	0	37	MPCX	C	640	mpcx_rx	6	
rx	0	35	MPCX	C	640	mpcx_rx	7	
rx	1	35	MPCX	C	640	mpcx_rx	8	
rx	1	34	MPCX	C	640	mpcx_rx	9	
rx	0	36	MPCX	C	640	mpcx_rx	10	
rx	0	33	MPCX	C	640	mpcx_rx	11	
